show_id,punctuation,type,title,director,cast,country,release_year,rating,duration_int,duration_type,listed_in
ns5262,3.6,movie,def comedy jam 25,louis j. horvitz,"dave chappelle, steve harvey, cedric the entertainer, martin lawrence, tiffany haddish, katt williams, craig robinson, d.l. hughley, eddie griffin, j.b. smoove, joe torry, kid capri, mike epps, sheryl underwood, tracy morgan, deon cole",united states,2017,tv-ma,82,min,stand-up comedy
ns5263,3.4,tv show,terrace house: aloha state,,"you, reina triendl, ryota yamasato, yoshimi tokui, azusa babazono, kentaro","united states, japan",2017,tv-14,4,season,"international tv shows, reality tv"
ns5264,3.5,tv show,dark matter,,"marc bendavid, melissa o'neil, anthony lemke, alex mallari jr., jodelle ferland, roger cross, zoie palmer",canada,2017,tv-14,3,season,"tv sci-fi & fantasy, tv thrillers"
ns5265,3.6,movie,swearnet: the movie,warren p. sonoda,"mike smith, john paul tremblay, robb wells, patrick roach, mishael morgan, sarah jurgens, shannon leroux, dana woods, howard jerome, tom green",canada,2014,nc-17,112,min,"comedies, international movies"
ns5266,3.6,movie,the bar,álex de la iglesia,"blanca suárez, mario casas, carmen machi, secun de la rosa, jaime ordoñez, terele pávez, joaquín climent, alejandro awada","spain, argentina",2017,tv-ma,102,min,"comedies, horror movies, international movies"
ns5267,3.6,movie,gaga: five foot two,chris moukarbel,lady gaga,united states,2017,tv-ma,101,min,"documentaries, music & musicals"
ns5268,3.5,movie,the bad batch,ana lily amirpour,"suki waterhouse, jason momoa, keanu reeves, jim carrey, giovanni ribisi, yolonda ross",united states,2016,r,119,min,"dramas, independent movies, thrillers"
ns5269,3.6,movie,jerry before seinfeld,michael bonfiglio,jerry seinfeld,united states,2017,tv-14,62,min,stand-up comedy
ns527,3.5,tv show,orange is the new black,,"taylor schilling, kate mulgrew, laura prepon, jason biggs, natasha lyonne, michael harney, uzo aduba, danielle brooks, samira wiley, dascha polanco, selenis leyva, nick sandow, yael stone, taryn manning, lea delaria, matt mcgorry, emma myles, vicky jeudy, laverne cox, pablo schreiber, lori petty, ruby rose, adrienne c. moore, jackie cruz, elizabeth rodriguez",united states,2019,tv-ma,7,season,"tv comedies, tv dramas"
ns5270,3.6,movie,barbie dolphin magic,conrad helten,"erica lindbeck, shannon chan-kent, kazumi evans, claire corlett, ciana swales, adrian petriw, maryke hendrikse, paul dobson, garry chalk","united states, canada",2017,tv-y,64,min,children & family movies
ns5271,3.6,movie,first they killed my father,angelina jolie,"sreymoch sareum, kompheak phoeung, socheata sveng, dara heng, sothea khoun, sreyneang oun, kimhak mun, chenda run, nika sarun, nita sarun","cambodia, united states",2017,tv-ma,137,min,dramas
ns5272,3.6,movie,strong island,yance ford,,"united states, denmark",2017,tv-ma,108,min,documentaries
ns5273,3.6,tv show,veggietales in the city,,"phil vischer, mike nawrocki, rob paulsen, tress macneille",united states,2017,tv-y,2,season,kids' tv
ns5274,3.5,movie,ghost of the mountains,ben wallis,antoine fuqua,united states,2017,g,78,min,"children & family movies, documentaries"
ns5275,3.5,tv show,offspring,,"asher keddie, kat stewart, richard davies, linda cropper, jane harber, alicia gardiner, lachy hulme, eddie perfect, deborah mailman, john waters",australia,2017,tv-ma,7,season,"tv comedies, tv dramas"
ns5276,3.6,movie,heroin(e),elaine mcmillion sheldon,,united states,2017,tv-14,40,min,documentaries
ns5277,3.4,movie,jeff dunham: relative disaster,michael simon,jeff dunham,united states,2017,tv-ma,71,min,stand-up comedy
ns5278,3.6,movie,#realityhigh,fernando lebrija,"nesta cooper, kate walsh, john michael higgins, keith powers, alicia sanz, jake borelli, kid ink, yousef erakat, rebekah graf, anne winters, peter gilroy, patrick davis",united states,2017,tv-14,99,min,comedies
ns5279,3.5,tv show,apaches,,"alberto ammann, eloy azorín, verónica echegui, lucía jiménez, claudia traisac",spain,2016,tv-ma,1,season,"crime tv shows, international tv shows, spanish-language tv shows"
ns528,3.4,tv show,puffin rock,,"chris o'dowd, kate mccafferty, sally mcdaid, geraldine cole, brian mcmonagle, darragh gargan","ireland, united states, united kingdom",2016,tv-y,2,season,kids' tv
